name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
Mountain Valley Lodge,8.8,Lodges,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality Inn Raton,7.2,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Best Western Moriarty Heritage Inn,9,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Adobe Rose Boutique Inn,9.7,Inns,New Mexico,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
Red River Home with 2 Balconies - 1 Block to Main St!,9.2,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Mountain View Lodge,8.7,Lodges,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Motel 6-Carlsbad, NM",6.6,Hotels,New Mexico,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super 8 by Wyndham Bloomfield,8,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
La Quinta Inn by Wyndham Las Cruces Mesilla Valley,6.2,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
The Classic Desert Aire Hotel,7.9,Hotels,New Mexico,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Best Western Discovery Inn,8,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Comfort Inn & Suites Lovington,8.7,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
Drifter Motel,7.8,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
